Ano,Ranking,Jogador,Posicao,Nacionalidade,Idade,Clube,Jogos,Gols
2019,16,Marcelo Cirino,Right Winger,Brazil,27,Club Athletico Paranaense,30,9
2019,17,Rafael Moura,Centre-Forward,Brazil,36,Goiás EC,23,9
2019,18,Marinho,Right Winger,Brazil,29,N/A,29,8
2019,19,Pepê,Right Winger,Brazil,22,Grêmio Foot-Ball Porto Alegrense,32,8
2019,20,Osvaldo,Right Winger,Brazil,32,Fortaleza Esporte Clube,32,7
2019,21,Luciano,Centre-Forward,Brazil,26,N/A,25,7
2019,22,Artur,Right Winger,Brazil,21,Esporte Clube Bahia,32,7
2019,23,Ricardo Bueno,Centre-Forward,Brazil,32,N/A,28,7
2019,24,Mauro Boselli,Centre-Forward,Argentina,34,Sport Club Corinthians Paulista,22,7
2019,25,Diego Souza,Centre-Forward,Brazil,34,Botafogo de Futebol e Regatas,32,7
2020,1,Claudinho,Attacking Midfield,Brazil,24,Red Bull Bragantino,35,18
2020,2,Luciano,Centre-Forward,Brazil,27,N/A,32,18
2020,3,Marinho,Right Winger,Brazil,30,Santos FC,27,17
2020,4,Thiago Galhardo,Centre-Forward,Brazil,31,Sport Club Internacional,29,17
2020,5,Gabriel Barbosa,Centre-Forward,Brazil,24,CR Flamengo,25,14
2020,6,Germán Cano,Centre-Forward,Argentina,33,Clube de Regatas Vasco da Gama,34,14
2020,7,Vina,Attacking Midfield,Brazil,29,Ceará Sporting Club,31,13
2020,8,Diego Souza,Centre-Forward,Brazil,35,Grêmio Foot-Ball Porto Alegrense,25,13
2020,9,Pedro,Centre-Forward,Brazil,23,CR Flamengo,34,13
2020,10,Brenner,Centre-Forward,Brazil,21,São Paulo Futebol Clube,27,11
2020,11,Renato Kayzer,Centre-Forward,Brazil,25,N/A,32,11
2020,12,Raphael Veiga,Attacking Midfield,Brazil,25,Sociedade Esportiva Palmeiras,26,11
2020,13,Keno,Left Winger,Brazil,31,Clube Atlético Mineiro,33,10
2020,14,Luiz Adriano,Centre-Forward,Brazil,33,Sociedade Esportiva Palmeiras,24,10
2020,15,Matheus Babi,Centre-Forward,Brazil,23,Botafogo de Futebol e Regatas,34,10
2020,16,Yuri Alberto,Centre-Forward,Brazil,19,Sport Club Internacional,23,10
2020,17,Fernandão,Centre-Forward,Brazil,33,N/A,25,10
2020,18,Bruno Henrique,Centre-Forward,Brazil,30,CR Flamengo,31,9
