Ano,Ranking,Jogador,Clube,Jogos_Disputados,Jogos_Sem_Sofrer_Gol,Porcentagem
2021,15,Felipe Alves,Fortaleza Esporte Clube,20,8,40.0 %
2021,16,Gabriel Grando,Grêmio Foot-Ball Porto Alegrense,24,8,33.3 %
2021,17,Santos,Club Athletico Paranaense,29,8,27.6 %
2021,18,João Ricardo,Ceará Sporting Club,13,7,53.8 %
2021,19,Marcelo Boeck,Fortaleza Esporte Clube,19,7,36.8 %
2021,20,Weverton,Sociedade Esportiva Palmeiras,21,7,33.3 %
2021,21,Douglas Friedrich,Esporte Clube Juventude,17,6,35.3 %
2021,22,Marcelo Carné,Esporte Clube Juventude,21,6,28.6 %
2021,23,Jailson,Sociedade Esportiva Palmeiras,14,5,35.7 %
2021,24,Hugo Souza,CR Flamengo,8,3,37.5 %
2021,25,Brenno,Grêmio Foot-Ball Porto Alegrense,14,3,21.4 %
2022,1,Weverton,Sociedade Esportiva Palmeiras,34,16,47.1 %
2022,2,Everson,Clube Atlético Mineiro,37,15,40.5 %
2022,3,Cássio,Sport Club Corinthians Paulista,34,14,41.2 %
2022,4,Fábio,Fluminense Football Club,38,14,36.8 %
2022,5,Fernando Miguel,Fortaleza Esporte Clube,20,12,60.0 %
2022,6,Bento,Club Athletico Paranaense,33,11,33.3 %
2022,7,Daniel,Sport Club Internacional,23,10,43.5 %
2022,8,João Paulo,Santos FC,37,10,27.0 %
2022,9,Matheus Cavichioli,América Futebol Clube (MG),25,9,36.0 %
2022,10,Walter,Cuiabá Esporte Clube (MT),28,9,32.1 %
2022,11,Roberto Fernández,Botafogo de Futebol e Regatas,32,9,28.1 %
2022,12,Keiller,Sport Club Internacional,15,8,53.3 %
2022,13,Santos,CR Flamengo,19,8,42.1 %
2022,14,Tadeu,Goiás EC,38,8,21.1 %
2022,15,João Ricardo,Ceará Sporting Club,35,7,20.0 %
2022,16,Cleiton,Red Bull Bragantino,37,7,18.9 %
2022,17,Felipe Alves,Esporte Clube Juventude,18,6,33.3 %
2022,18,Alex Muralha,Coritiba Foot Ball Club,19,5,26.3 %
2022,19,Gabriel,Coritiba Foot Ball Club,13,4,30.8 %
2022,20,Jandrei,São Paulo Futebol Clube,19,4,21.1 %
2022,21,Marcelo Lomba,Sociedade Esportiva Palmeiras,3,3,100.0 %
2022,22,Lucas Perri,Botafogo de Futebol e Regatas,4,3,75.0 %
2022,23,Douglas Friedrich,Avaí FC,11,3,27.3 %
2022,24,Marcelo Boeck,Fortaleza Esporte Clube,13,3,23.1 %
2022,25,Vladimir,Avaí FC,23,3,13.0 %
2023,1,Cleiton,Red Bull Bragantino,33,16,48.5 %
2023,2,Lucas Perri,Botafogo de Futebol e Regatas,38,16,42.1 %
2023,3,Weverton,Sociedade Esportiva Palmeiras,35,15,42.9 %
2023,4,Rafael Cabral,Cruzeiro Esporte Clube,37,15,40.5 %
2023,5,Everson,Clube Atlético Mineiro,36,14,38.9 %
2023,6,Rafael,São Paulo Futebol Clube,33,13,39.4 %
2023,7,Walter,Cuiabá Esporte Clube (MT),35,12,34.3 %
2023,8,Fábio,Fluminense Football Club,35,12,34.3 %
2023,9,Tadeu,Goiás EC,35,10,28.6 %
2023,10,Bento,Club Athletico Paranaense,33,9,27.3 %
2023,11,João Paulo,Santos FC,36,9,25.0 %
2023,12,Cássio,Sport Club Corinthians Paulista,37,9,24.3 %
2023,13,Marcos Felipe,Esporte Clube Bahia,37,9,24.3 %
2023,14,Léo Jardim,Clube de Regatas Vasco da Gama,38,9,23.7 %
2023,15,Agustín Rossi,CR Flamengo,15,8,53.3 %
2023,16,João Ricardo,Fortaleza Esporte Clube,32,8,25.0 %
2023,17,Matheus Cunha,CR Flamengo,19,6,31.6 %
2023,18,Gabriel,Coritiba Foot Ball Club,31,6,19.4 %
2023,19,John Victor,Sport Club Internacional,9,5,55.6 %
2023,20,Sergio Rochet,Sport Club Internacional,19,5,26.3 %
2023,21,Gabriel Grando,Grêmio Foot-Ball Porto Alegrense,31,5,16.1 %
2023,22,Carlos Miguel,Sport Club Corinthians Paulista,2,2,100.0 %
2023,23,Caíque,Grêmio Foot-Ball Porto Alegrense,4,2,50.0 %
2023,24,Jandrei,São Paulo Futebol Clube,5,2,40.0 %
2023,25,Fernando Miguel,Fortaleza Esporte Clube,6,2,33.3 %
2024,1,John Victor,Botafogo de Futebol e Regatas,34,16,47.1 %
2024,2,Weverton,Sociedade Esportiva Palmeiras,37,16,43.2 %
2024,3,Fábio,Fluminense Football Club,37,13,35.1 %
2024,4,João Ricardo,Fortaleza Esporte Clube,38,13,34.2 %
2024,5,Marcos Felipe,Esporte Clube Bahia,34,9,26.5 %
2024,6,Walter,Cuiabá Esporte Clube (MT),36,9,25.0 %
2024,7,Rafael,São Paulo Futebol Clube,25,8,32.0 %
2024,8,Everson,Clube Atlético Mineiro,25,8,32.0 %
2024,9,Sergio Rochet,Sport Club Internacional,28,8,28.6 %
2024,10,Agustín Marchesín,Grêmio Foot-Ball Porto Alegrense,28,8,28.6 %
2024,11,Agustín Rossi,CR Flamengo,35,8,22.9 %
2024,12,Lucas Arcanjo,Esporte Clube Vitória,37,8,21.6 %
2024,13,Léo Jardim,Clube de Regatas Vasco da Gama,38,8,21.1 %
2024,14,Hugo Souza,Sport Club Corinthians Paulista,22,7,31.8 %
2024,15,Cássio,Sport Club Corinthians Paulista,24,7,29.2 %
2024,16,Cleiton,Red Bull Bragantino,31,7,22.6 %
2024,17,Gabriel,Esporte Clube Juventude,34,7,20.6 %
2024,18,Anderson,Cruzeiro Esporte Clube,17,6,35.3 %
2024,19,Mycael,Club Athletico Paranaense,19,6,31.6 %
2024,20,Ronaldo,Atlético Clube Goianiense,32,6,18.8 %
2024,21,Gustavo,Criciúma EC,34,6,17.6 %
2024,22,Bento,Club Athletico Paranaense,7,4,57.1 %
2024,23,Jandrei,São Paulo Futebol Clube,13,4,30.8 %
2024,24,Fabrício,Sport Club Internacional,8,3,37.5 %
2024,25,Matheus Cunha,CR Flamengo,3,2,66.7 %
2025,1,Agustín Rossi,CR Flamengo,35,17,48.6 %
2025,2,Cássio,Cruzeiro Esporte Clube,33,16,48.5 %
2025,3,Fábio,Fluminense Football Club,35,14,40.0 %
2025,4,Everson,Clube Atlético Mineiro,32,11,34.4 %
2025,5,Rafael,São Paulo Futebol Clube,33,11,33.3 %
2025,6,John Victor,Botafogo de Futebol e Regatas,17,9,52.9 %
2025,7,Hugo Souza,Sport Club Corinthians Paulista,24,9,37.5 %
2025,8,Ronaldo,Esporte Clube Bahia,25,9,36.0 %
2025,9,Weverton,Sociedade Esportiva Palmeiras,26,9,34.6 %
2025,10,Walter,Mirassol Futebol Clube (SP),27,9,33.3 %
2025,11,Bruno,Ceará Sporting Club,27,9,33.3 %
2025,12,Lucas Arcanjo,Esporte Clube Vitória,29,8,27.6 %
2025,13,Cleiton,Red Bull Bragantino,31,8,25.8 %
2025,14,Léo Jardim,Clube de Regatas Vasco da Gama,34,8,23.5 %
2025,15,João Ricardo,Fortaleza Esporte Clube,14,7,50.0 %
2025,16,Léo Linck,Botafogo de Futebol e Regatas,16,7,43.8 %
2025,17,Gabriel Brazão,Santos FC,34,7,20.6 %
2025,18,Carlos Miguel,Sociedade Esportiva Palmeiras,8,5,62.5 %
2025,19,Tiago Volpi,Grêmio Foot-Ball Porto Alegrense,30,5,16.7 %
2025,20,Marcos Felipe,Esporte Clube Bahia,11,4,36.4 %
2025,21,Jandrei,São Paulo Futebol Clube,16,4,25.0 %
2025,22,Thiago Couto,Sport Club do Recife,6,3,50.0 %
2025,23,Ivan,Sport Club Internacional,7,3,42.9 %
2025,24,Fernando Miguel,Ceará Sporting Club,8,3,37.5 %
2025,25,Sergio Rochet,Sport Club Internacional,11,3,27.3 %
