Ano,Clube,Squad,Idade Media,Estrangeiros,Valor Medio,Valor Total
2020,Botafogo de Futebol e Regatas,64,22.3,9,€488k,€31.25m
2020,Club Athletico Paranaense,71,22.1,5,€435k,€30.85m
2020,Goiás EC,71,22.8,7,€411k,€29.20m
2020,Fluminense Football Club,57,23.0,3,€483k,€27.53m
2020,Sport Club do Recife,59,23.5,3,€464k,€27.38m
2020,Ceará Sporting Club,48,24.8,0,€484k,€23.25m
2020,Atlético Clube Goianiense,67,21.6,2,€317k,€21.25m
2020,Fortaleza Esporte Clube,44,25.4,3,€447k,€19.65m
2020,Red Bull Bragantino,42,22.4,5,€368k,€15.48m
2021,CR Flamengo,62,22.0,5,€2.99m,€185.60m
2021,Sport Club Corinthians Paulista,50,23.0,6,€2.65m,€132.35m
2021,Grêmio Foot-Ball Porto Alegrense,59,24.0,6,€2.04m,€120.28m
2021,Clube Atlético Mineiro,48,23.9,8,€2.22m,€106.45m
2021,Sociedade Esportiva Palmeiras,58,22.3,5,€1.61m,€93.25m
2021,São Paulo Futebol Clube,51,23.2,9,€1.41m,€71.90m
2021,Sport Club Internacional,57,21.9,10,€1.26m,€71.85m
2021,Santos FC,63,22.2,5,€852k,€53.70m
2021,Fluminense Football Club,63,23.2,7,€621k,€39.13m
2021,Red Bull Bragantino,44,21.7,5,€768k,€33.80m
2021,Club Athletico Paranaense,63,21.5,5,€498k,€31.35m
2021,Fortaleza Esporte Clube,46,25.7,4,€678k,€31.20m
2021,Esporte Clube Bahia,74,23.0,6,€410k,€30.35m
2021,Sport Club do Recife,71,22.4,2,€394k,€27.95m
2021,Esporte Clube Juventude,49,26.2,6,€547k,€26.83m
2021,Atlético Clube Goianiense,63,22.1,2,€392k,€24.70m
2021,Ceará Sporting Club,69,22.6,2,€318k,€21.93m
2021,Cuiabá Esporte Clube (MT),62,22.7,3,€339k,€21.00m
2021,América Futebol Clube (MG),57,23.9,2,€297k,€16.95m
2021,Associação Chapecoense de Futebol,53,23.1,0,€259k,€13.75m
2022,CR Flamengo,61,23.1,5,€2.98m,€181.95m
2022,Sport Club Corinthians Paulista,52,24.2,7,€2.54m,€131.90m
2022,Clube Atlético Mineiro,44,25.0,8,€2.61m,€115.00m
2022,Sociedade Esportiva Palmeiras,42,23.1,6,€2.66m,€111.60m
2022,Sport Club Internacional,51,24.0,9,€2.05m,€104.43m
2022,Botafogo de Futebol e Regatas,62,24.0,6,€1.35m,€83.45m
2022,Club Athletico Paranaense,67,21.9,9,€1.06m,€70.93m
2022,São Paulo Futebol Clube,48,23.0,10,€1.41m,€67.88m
2022,Santos FC,52,22.6,9,€1.00m,€52.18m
2022,Red Bull Bragantino,47,21.4,6,€1.05m,€49.28m
2022,Fluminense Football Club,46,25.3,5,€897k,€41.28m
2022,Fortaleza Esporte Clube,43,25.7,7,€759k,€32.65m
2022,Avaí FC,64,25.2,3,€505k,€32.30m
2022,Ceará Sporting Club,52,24.5,2,€532k,€27.65m
2022,Cuiabá Esporte Clube (MT),63,22.8,3,€425k,€26.75m
2022,Coritiba Foot Ball Club,54,23.6,8,€475k,€25.63m
2022,América Futebol Clube (MG),56,24.4,7,€439k,€24.58m
2022,Esporte Clube Juventude,55,24.2,4,€403k,€22.18m
2022,Goiás EC,70,22.2,0,€303k,€21.20m
2022,Atlético Clube Goianiense,52,22.9,3,€319k,€16.58m
2023,CR Flamengo,58,22.4,5,€3.33m,€193.10m
2023,Clube Atlético Mineiro,40,25.7,7,€3.46m,€138.40m
2023,Botafogo de Futebol e Regatas,64,24.1,14,€1.98m,€126.43m
2023,Sociedade Esportiva Palmeiras,42,23.0,7,€2.87m,€120.50m
2023,São Paulo Futebol Clube,50,23.5,11,€2.24m,€112.18m
2023,Grêmio Foot-Ball Porto Alegrense,62,23.5,10,€1.61m,€99.98m
2023,Sport Club Corinthians Paulista,48,23.2,8,€2.08m,€99.95m
2023,Santos FC,56,24.2,11,€1.68m,€94.20m
2023,Fluminense Football Club,59,23.5,7,€1.32m,€77.70m
2023,Sport Club Internacional,41,25.4,10,€1.88m,€77.15m
2023,Red Bull Bragantino,49,21.4,7,€1.55m,€75.85m
2023,Clube de Regatas Vasco da Gama,70,22.7,10,€1.04m,€72.85m
2023,Esporte Clube Bahia,72,21.4,5,€979k,€70.50m
2023,Cruzeiro Esporte Clube,51,23.5,1,€1.23m,€62.75m
2023,Coritiba Foot Ball Club,61,24.6,8,€956k,€58.33m
2023,Club Athletico Paranaense,53,22.5,8,€1.09m,€57.73m
2023,Fortaleza Esporte Clube,44,26.0,8,€1.03m,€45.33m
2023,América Futebol Clube (MG),54,25.1,8,€633k,€34.18m
2023,Goiás EC,64,23.9,2,€435k,€27.83m
2023,Cuiabá Esporte Clube (MT),46,24.2,3,€465k,€21.38m
2024,CR Flamengo,69,21.5,10,€3.10m,€214.15m
2024,Sociedade Esportiva Palmeiras,43,23.2,7,€3.56m,€153.10m
2024,Sport Club Corinthians Paulista,57,23.2,11,€2.55m,€145.50m
2024,Botafogo de Futebol e Regatas,59,24.2,12,€2.23m,€131.43m
2024,Clube Atlético Mineiro,44,25.1,10,€2.99m,€131.35m
2024,Sport Club Internacional,51,25.1,12,€2.42m,€123.23m
2024,São Paulo Futebol Clube,49,24.1,13,€2.32m,€113.75m
2024,Clube de Regatas Vasco da Gama,64,23.2,13,€1.67m,€106.95m
2024,Cruzeiro Esporte Clube,51,23.6,8,€1.99m,€101.68m
2024,Fluminense Football Club,67,24.7,9,€1.48m,€98.95m
2024,Grêmio Foot-Ball Porto Alegrense,60,23.7,14,€1.45m,€87.00m
2024,Esporte Clube Bahia,63,22.3,7,€1.22m,€76.95m
2024,Red Bull Bragantino,61,21.0,9,€1.22m,€74.25m
2024,Club Athletico Paranaense,54,22.4,9,€1.20m,€64.60m
2024,Fortaleza Esporte Clube,43,26.3,10,€1.05m,€45.05m
2024,Atlético Clube Goianiense,55,24.1,11,€593k,€32.60m
2024,Criciúma EC,48,25.0,7,€646k,€31.00m
2024,Esporte Clube Vitória,60,25.2,3,€517k,€31.00m
2024,Cuiabá Esporte Clube (MT),45,23.1,2,€522k,€23.48m
2024,Esporte Clube Juventude,53,24.2,2,€408k,€21.60m
2025,Sociedade Esportiva Palmeiras,29,26.4,8,€7.32m,€212.15m
