Ano,Data_Referencia,Clube,Valor_Mercado_Data,Valor_Mercado_Atual
2021,2021-12-01,São Paulo Futebol Clube,€79.65m,€89.85m
2021,2021-12-01,Grêmio Foot-Ball Porto Alegrense,€84.95m,€86.45m
2021,2021-12-01,Sport Club Internacional,€61.95m,€86.00m
2021,2021-12-01,Santos FC,€59.85m,€82.80m
2021,2021-12-01,Fortaleza Esporte Clube,€22.85m,€47.18m
2021,2021-12-01,Sport Club do Recife,€16.10m,€39.50m
2021,2021-12-01,Ceará Sporting Club,€17.93m,€32.85m
2021,2021-12-01,Esporte Clube Vitória,€5.90m,€32.15m
2021,2021-12-01,Esporte Clube Juventude,€15.65m,€23.20m
2021,2021-12-01,Mirassol Futebol Clube (SP),€450k,€22.53m
2022,2022-12-01,Sociedade Esportiva Palmeiras,€182.75m,€212.15m
2022,2022-12-01,CR Flamengo,€158.30m,€195.90m
2022,2022-12-01,Botafogo de Futebol e Regatas,€68.60m,€138.35m
2022,2022-12-01,Cruzeiro Esporte Clube,€25.95m,€125.65m
2022,2022-12-01,Sport Club Corinthians Paulista,€101.45m,€110.45m
2022,2022-12-01,Clube de Regatas Vasco da Gama,€27.55m,€108.15m
2022,2022-12-01,Esporte Clube Bahia,€26.10m,€103.50m
2022,2022-12-01,Clube Atlético Mineiro,€119.28m,€97.40m
2022,2022-12-01,Fluminense Football Club,€68.60m,€94.10m
2022,2022-12-01,Red Bull Bragantino,€89.05m,€90.70m
2022,2022-12-01,São Paulo Futebol Clube,€80.25m,€89.85m
2022,2022-12-01,Grêmio Foot-Ball Porto Alegrense,€51.35m,€86.45m
2022,2022-12-01,Sport Club Internacional,€69.70m,€86.00m
2022,2022-12-01,Santos FC,€81.70m,€82.80m
2022,2022-12-01,Fortaleza Esporte Clube,€32.60m,€47.18m
2022,2022-12-01,Sport Club do Recife,€10.48m,€39.50m
2022,2022-12-01,Ceará Sporting Club,€26.65m,€32.85m
2022,2022-12-01,Esporte Clube Vitória,-,€32.15m
2022,2022-12-01,Esporte Clube Juventude,€18.03m,€23.20m
2022,2022-12-01,Mirassol Futebol Clube (SP),€100k,€22.53m
2023,2023-12-01,Sociedade Esportiva Palmeiras,€159.95m,€212.15m
2023,2023-12-01,CR Flamengo,€161.40m,€195.90m
2023,2023-12-01,Botafogo de Futebol e Regatas,€68.65m,€138.35m
2023,2023-12-01,Cruzeiro Esporte Clube,€52.35m,€125.65m
2023,2023-12-01,Sport Club Corinthians Paulista,€88.15m,€110.45m
2023,2023-12-01,Clube de Regatas Vasco da Gama,€71.25m,€108.15m
2023,2023-12-01,Esporte Clube Bahia,€63.15m,€103.50m
2023,2023-12-01,Clube Atlético Mineiro,€84.90m,€97.40m
2023,2023-12-01,Fluminense Football Club,€77.30m,€94.10m
2023,2023-12-01,Red Bull Bragantino,€73.43m,€90.70m
2023,2023-12-01,São Paulo Futebol Clube,€100.55m,€89.85m
2023,2023-12-01,Grêmio Foot-Ball Porto Alegrense,€58.70m,€86.45m
2023,2023-12-01,Sport Club Internacional,€73.95m,€86.00m
2023,2023-12-01,Santos FC,€73.95m,€82.80m
2023,2023-12-01,Fortaleza Esporte Clube,€40.05m,€47.18m
2023,2023-12-01,Sport Club do Recife,€12.10m,€39.50m
2023,2023-12-01,Ceará Sporting Club,€20.25m,€32.85m
2023,2023-12-01,Esporte Clube Vitória,€9.49m,€32.15m
2023,2023-12-01,Esporte Clube Juventude,€12.45m,€23.20m
2023,2023-12-01,Mirassol Futebol Clube (SP),€8.25m,€22.53m
2024,2024-12-01,Sociedade Esportiva Palmeiras,€209.85m,€212.15m
2024,2024-12-01,CR Flamengo,€212.10m,€195.90m
2024,2024-12-01,Botafogo de Futebol e Regatas,€136.10m,€138.35m
